PubmedID,Title,Date,Authors,Affiliations,Email
40513573,Induction of a mismatch repair deficient genotype by tailored chemical mutagenesis in experimental models of cancer.,2025,"Benoit Rousseau, Mitesh Patel, Oliver Artz, Shrey Patel, Omar Hayatt, Guillem Argilés, Michael B Foote, Lingqi Luo, Rachna Shah, Shub Mehta, Karthik Rangavajhula, Drew Gerber, Rohini Bhattacharya, Dennis Stephens, David Mieles, Violaine Randrian, Somer Abdelfattah, Lin Zhang, Nathalie Membreno-Berganza, Michelle F Lamendola-Essel, Florence Piastra-Facon, Paul Johannet, Steve Lu, James R White, Steven B Maron, Afsar Barlas, Caroline M Weipert, Eric Rosiek, Rui Qu, Deborah Fidele, Sydney Bowker, Alec Kahn, Xiaoxiao Ma, Andrea Cercek, Elisa de Stanchina, Neil H Segal, Luis A Diaz","Guardant Health, Inc., Palo Alto, CA, USA.; Division of Solid Tumor Oncology, Memorial Sloan Kettering Cancer Center, New York, NY, USA. Electronic address: diazl5@mskcc.org.; Antitumor Assessment Core, Memorial Sloan Kettering Cancer Center, New York, NY, USA.; Center for Immunotherapy and Precision-Immuno-Oncology, Cleveland Clinic, Cleveland, OH, USA.; Division of Solid Tumor Oncology, Memorial Sloan Kettering Cancer Center, New York, NY, USA; Boehringer Ingelheim Inc., Ridgefield, CT, USA.; Molecular Cytology Core Facility, Memorial Sloan Kettering Cancer Center, New York, NY, USA.; Division of Solid Tumor Oncology, Memorial Sloan Kettering Cancer Center, New York, NY, USA.; Resphera Biosciences, Baltimore, MD, USA.",diazl5@mskcc.org
40506731,Incorporating automation in a cytogenetics laboratory: three practitioners' perspectives on benefits and limitations.,2025,Jennie Thurston,"Cytogenetics and Molecular Pathology, Atrium Health and CPG Pathology, Charlotte, NC, USA.",N/A
40506515,Author Correction: Proteolysis-targeting influenza vaccine strains induce broad-spectrum immunity and in vivo protection.,2025,"Haiqing Bai, Lei Yan, Hanhui Hong, Xin Xie","Beijing Daxiang Biotech, Beijing, China.; Henan Academy of Innovations in Medical Science, Zhengzhou, China.; Xellar Biosystems, Boston, MA, USA.; AccuraMed Technology, Guangzhou, China.",N/A
40506221,Minimizing human-induced variability in quantitative angiography for a robust and explainable AI-based occlusion prediction in flow diverter-treated aneurysms.,2025,"Mohammad Mahdi Shiraz Bhurwani, Jason M Davies, Ciprian N Ionita","QAS.AI Inc, Buffalo, NY, USA.",N/A
40494072,AI-chemometric assisted real-time monitoring of tryptophan fermentation process using a sensor fusion strategy.,2025,"Huihui Jia, Ying Wang, Chao Gai","Channel Biotech Co., Ltd., Innovation R&D Center, Jinan, Shandong 250012, China.; Dongying XINGSHENG Special Equipment Technology Co., Ltd., Dongying, Shandong 257000, China.",N/A
40484157,The evolving landscape of hormone receptor-positive/HER2-negative metastatic breast cancer (EVOLVE): An Italian Delphi consensus report.,2025,"Maria Grazia Razeti, Giampaolo Bianchini, Michele Caruso, Saverio Cinieri, Carmine De Angelis, Michelino De Laurentis, Alessandra Fabi, Ida Paris, Giancarlo Pruneri, Claudio Zamagni","Precision Medicine Unit in Senology, Fondazione Policlinico Universitario A. Gemelli IRCCS, Rome, Italy.; Clinical and Translational Oncology, Scuola Superiore Meridionale, Naples, Italy.; Department of Medical Oncology, IRCCS Ospedale San Raffaele, Milan, Italy; Department of Advanced Diagnostics, Fondazione IRCCS Istituto Nazionale dei Tumori, Milano, Italy.; Division of Gynecologic Oncology, Department of Woman and Child Health and Public Health, Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Rome, Italy.; Department of Medical Oncology, IRCCS Ospedale San Raffaele, Milan, Italy; Università Vita-Salute San Raffaele, Milan, Italy.; Humanitas Istituto Clinico Catanese, Catania, Italy.; Division of Medical Oncology, Breast Unit, Ospedale Perrino, Brindisi, Italy.; U.O.C. Clinica Di Oncologia Medica, IRCCS Ospedale Policlinico San Martino, Genova, Italy.; Istituto Nazionale Tumori - IRCCS - Fondazione G. Pascale, Napoli, Italy.; IRCCS Azienda Ospedaliero-universitaria di Bologna, Italy.",N/A
40473950,Inherited mitochondrial genetics as a predictor of immune checkpoint inhibition efficacy in melanoma.,2025,"Kelsey R Monson, Robert Ferguson, Joanna E Handzlik, Leah Morales, Jiahan Xiong, Vylyny Chat, Sasha Dagayev, Danny Simpson, Esther Kazlow, Anabelle Bunis, Chaitra Sreenivasaiah, Milad Ibrahim, Iryna Voloshyna, Mariaelena Capone, Gabriele Madonna, Yuting Lu, Yongzhao Shao, Anna Pavlick, Michelle Krogsgaard, Janice Mehnert, Hao Tang, Sonia Dolfi, Daniel Tenney, John B A G Haanen, Igor Puzanov, Michael Postow, Jason J Luke, Paolo A Ascierto, Iman Osman, Tomas Kirchhoff","Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA.; Tri-Institutional Training Program in Computational Biology and Medicine, Weill Cornell Medicine, New York, NY, USA.; Bristol Myers Squibb Corp, Princeton, NJ, USA.; Medical Oncology, Antoni van Leeuwenhoek Nederlands Kanker Instituut, Amsterdam, the Netherlands.; Department of Medicine, NYU Langone Health, New York, NY, USA.; Perlmutter Cancer Center, NYU Langone Health, New York, NY, USA.; Melanoma Cancer Immunotherapy and Development Therapeutics Unit, Istituto Nazionale Tumori IRCCS Fondazione G. Pascale, Naples, Italy.; Department of Medicine, Roswell Park Comprehensive Cancer Center, Buffalo, NY, USA.; UPMC Hillman Cancer Center, Pittsburgh, PA, USA.; Perlmutter Cancer Center, NYU Langone Health, New York, NY, USA. tomas.kirchhoff@nyulangone.org.; Ronald O. Perelman Department of Dermatology, NYU Langone Health, New York, NY, USA.; Departments of Population Health and Environmental Medicine, NYU Langone Health, New York, NY, USA. tomas.kirchhoff@nyulangone.org.; Departments of Population Health and Environmental Medicine, NYU Langone Health, New York, NY, USA.; The Interdisciplinary Melanoma Cooperative Group, NYU Langone Health, New York, NY, USA. tomas.kirchhoff@nyulangone.org.; The Interdisciplinary Melanoma Cooperative Group, NYU Langone Health, New York, NY, USA.; New York Genome Center, New York, NY, USA.; Division of Hematology & Medical Oncology, the Cutaneous Oncology Program, Weill Cornell, New York, NY, USA.",tomas.kirchhoff@nyulangone.org
40473445,"Zanidatamab plus chemotherapy as first-line treatment for patients with HER2-positive advanced gastro-oesophageal adenocarcinoma: primary results of a multicentre, single-arm, phase 2 study.",2025,"Elena Elimova, Crystal S Denlinger, Bruce Lin, Lin Yang, Mark A Ozog, Phillip M Garfin, Geoffrey Ku","Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA.; Jazz Pharmaceuticals, Palo Alto, CA, USA.; Department of Gastrointestinal Medical Oncology, Fox Chase Cancer Center, Philadelphia, PA, USA.; Section of Hematology-Oncology, Virginia Mason Medical Center, Seattle, WA, USA.; Department of Gastrointestinal Medical Oncology, Princess Margaret Cancer Centre, Toronto, ON, Canada. Electronic address: elena.elimova@uhn.ca.",elena.elimova@uhn.ca
40465294,Immune Checkpoint Inhibitors for Patients With Preexisting Autoimmune Neurologic Disorders.,2025,"Frank Aboubakar-Nana, Alexandra Johnson, Anna C Olsson-Brown, Andrea Malgeri, Alessio Cortellini, Aditi Singh, Kaushal Parikh","Department of Oncology, Mayo Clinic, Rochester, Minnesota.; Department of Medicine and Surgery, Università Campus Bio-Medico di Roma, Roma, Italy.; Clatterbridge Cancer Centre NHS Foundation Trust, Liverpool, United Kingdom.; Fondazione Policlinico Universitario Campus-Biomedico, Roma, Italy.; Service de Pneumologie, Cliniques Universitaires Saint-Luc, Brussels, Belgium.",N/A
40455815,"rechARge: a randomized phase III trial of the androgen receptor ligand-directed degrader, BMS-986365, vs investigator's choice in patients with mCRPC.",2025,"Kim Nguyen Chi, Neal D Shore, Teresa Cascella, Irina Irincheeva, Stephanie Kreiser, Antoine Thiery-Vuillemin, Dana E Rathkopf","Department of Research and Development, Bristol Myers Squibb, Boudry, Switzerland.; Department of Medical Oncology, Memorial Sloan Kettering Cancer Center, New York, NY, USA.; Department of Urology, Carolina Urologic Research Center/AUC Urology Specialists, Myrtle Beach, SC, USA.; Department of Clinical Science, Bristol Myers Squibb, Princeton, NJ, USA.; Department of Medical Oncology, BC Cancer Agency, Vancouver, Canada.",N/A
40449107,Research note: Genetic parameters estimation of egg quality traits in Beijing-You chickens.,2025,"Yuze Yang, Zhuo Chang","Beijing General Station of Animal Husbandry, Beijing 100107, China.",N/A
40447318,Neovascular pruning by IDO1 inhibitors can potentiate immunogenic cytotoxicity of ischemia-targeted agents to synergistically enhance anti-PD-1 responsiveness.,2025,"Souvik Dey, Maurice T Hampton","Telesis Therapeutics, Inc, Philadelphia, Pennsylvania, USA.; WuXi Advanced Therapies, Philadelphia, Pennsylvania, USA.",N/A
40447316,"Development and validation of the Immune Profile Score (IPS), a novel multiomic algorithmic assay for stratifying outcomes in a real-world cohort of patients with advanced solid cancer treated with immune checkpoint inhibitors.",2025,"Alia D Zander, Rossin Erbe, Yan Liu, Ailin Jin, Seung Won Hyun, Sayantoni Mukhopadhyay, Ben Terdich, Mario G Rosasco, Nirali Patel, Brett M Mahon, A Kate Sasser, Michelle A Ting-Lin, Halla Nimeiri, Justin Guinney, Douglas Adkins, Matthew Zibelman, Kyle A Beauchamp, Chithra Sangli, Michelle M Stein, Timothy Taxter, Timothy Chan, Sandip P Patel, Ezra E W Cohen","Tempus AI Inc, Chicago, Illinois, USA ezra.cohen@tempus.com.; UCSD Moores Cancer Center, La Jolla, California, USA.; Fox Chase Cancer Center, Philadelphia, Pennsylvania, USA.; Tempus AI Inc, Chicago, Illinois, USA.; Center for Immunotherapy and Precision Immuno-oncology, Cleveland Clinic, Cleveland, Ohio, USA.; Washington Univ, St. Louis, Missouri, USA.",ezra.cohen@tempus.com
40444085,Corrigendum: Development and validation of nomogram models for predicting immune-related adverse events in recurrent and metastatic nasopharyngeal carcinoma patients treated with PD-L1 inhibitors.,2025,"Junyou Ge, Yan Qing, Youneng Wei","Sichuan Kelun-Biotech Biopharmaceutical Co. Ltd., Chengdu, China.",N/A
40441146,Targeted inhibition of pathobiont virulence factor mitigates alcohol-associated liver disease.,2025,"Alexandre Louvet, Philippe Mathurin","Service des Maladies de L'appareil Digestif et Unité INFINITE 1286, Hôpital Huriez, Lille, France.",N/A
40439959,Overall Survival with Apalutamide Versus Enzalutamide in Metastatic Castration-Sensitive Prostate Cancer.,2025,"Benjamin Lowentritt, Ibrahim Khilfeh, Carmine Rossi, Shawn Du, Frederic Kinkead, Lilian Diaz, Dominic Pilon, Lorie Ellis, Neal D Shore","Analysis Group, Inc., Montréal, QC, Canada.; Chesapeake Urology, Towson, MD, USA.; Johnson & Johnson, Horsham, PA, USA.; START Carolinas/Carolina Urologic Research Center, 823 82nd Parkway, Myrtle Beach, SC, 29572, USA. nshore@auclinics.com.",nshore@auclinics.com
40425996,"First-in-line subcutaneous injectable for reversible, non-hormonal male contraception.",2025,"Katherine G Hamil, Michael G O'Rand","Eppin Pharma Inc, Chapel Hill, NC, USA.",N/A
40422786,Identification of TRPV1-Inhibitory Peptides from ,2025,Kang Chen,"Mimask (Xiamen) Bio-Tech Co., Ltd., Xiamen 361000, China.",N/A
40405265,Novel fully human high-affinity anti-TREM2 antibody shows efficacy in clinically relevant Alzheimer´s mouse model.,2025,"Markus Kraller, Julia Faßbender, Ammar Jabali, Joseph Kroeger, Barbara Fink, Bastian Popper, Martin Ungerer, Miriam A Christlmeier","ISAR Bioscience GmbH, 82152, Planegg, Germany. Martin.Ungerer@isarbioscience.de.; ISAR Bioscience GmbH, 82152, Planegg, Germany.; Biomedical Center, Medical Faculty, Core Facility Animal Models, LMU Munich, 82151, Planegg-Martinsried, Germany.; ISAR Bioscience GmbH, 82152, Planegg, Germany. Miriam.Christlmeier@isarbioscience.de.",Miriam.Christlmeier@isarbioscience.de
40403500,"Design, synthesis, and biological evaluation of novel 2-substituted aniline pyrimidine derivatives as potential and orally bioavailable Mer inhibitors with antitumor activities.",2025,Yanbo Wang,"Shijiazhuang Vortech Biotech Co., Ltd., Shijiazhuang 050051, China.",N/A
40403207,"Palbociclib, a Selective CDK4/6 Inhibitor, Administered Before and After Chemoradiotherapy for Human Papillomavirus-Negative, Locally Advanced Head and Neck Squamous Cell Carcinoma: A Single-Arm, Phase II Trial.",2025,"Peter J Oppelt, Sidharth V Puram, Ryan S Jackson, Randall C Paniello, Jason T Rich, Patrik Pipkorn, Wade L Thorstad, Douglas R Adkins","Alvin J. Siteman Cancer Center, St Louis, MO.; The Robert Ebert and Greg Stubblefield Head and Neck Tumor Center at Siteman, St Louis, MO.",N/A
40399555,Genome-wide association study of long COVID.,2025,"Tomoko Nakanishi, Beatriz Cortés, Heath E O'Brien, Ana Ochoa-Guzman, Alicia Huerta-Chagoya, Nasa Sinnott-Armstrong, Elizabeth T Cirulli, Amit K Maiti, Daniel C Posner, Francesca Minnai, C A Robert Warmerdam, Raimonds Rešcenko, Lorenzo Miano, Laura Carvajal-Silva, Kevin Aguilar-Valdés, Ekaterina Vergasova, Pasquale Striano, Hajar Fauzan Ahmad, Shiuh-Wen Luoh, Alicia Colombo, Patrick J Short, Laura Ansone, Luca V C Valenti, Ricardo A Verdugo, Lude H Franke, Alexander Rakitko, Emma L Duncan, Alessandra Renieri, Rafael de Cid, Teresa Tusié-Luna, J Brent Richards","Genotek Ltd, Moscow, Russia.; Grup de REcerca en Impacte de les Malalties Cròniques i les seves Trajectòries (GRIMTra), Barcelona, Spain.; Departamento de Medicina Genómica y Toxicología Ambiental, Instituto de Investigaciones Biomédicas, Universidad Nacional Autónoma de México, Mexico City, Mexico.; Latvian Biomedical Research and Study Centre, Riga, Latvia.; Department of Genetics and Genomics, Mydnavar, Southfield, MI, USA.; Departamento de Anatomía Patológica, Facultad de Medicina, Universidad de Chile, Santiago, Chile.; Sano Genetics Limited, London, UK.; Departamento de Oncología Básico Clínica, Facultad de Medicina, Universidad de Chile, Santiago, Chile.; Genetica Medica, Azienda Ospedaliero-Universitaria Senese, Siena, Italy.; VA Boston Healthcare System, Boston, MA, USA.; 5 Prime Sciences Inc, Montreal, Quebec, Canada.; IRCCS G Gaslini, Genoa, Italy.; Department of Endocrinology, Guy's and St Thomas' NHS Foundation Trust, London, UK.; Biological Resource Center, Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milan, Italy.; Instituto de Investigaciones Biomédicas, UNAM, Mexico City, Mexico.; Unidad de Biología Molecular y Medicina Genómica, Instituto Nacional de Ciencias Médicas y Nutrición, Mexico City, Mexico.; Faculty of Industrial Sciences and Technology, Universiti Malaysia Pahang Al Sultan Abdullah, Pahang, Malaysia.; Oncode Investigator, Utrecht, the Netherlands.; Research Fellow, Japan Society for the Promotion of Science, Tokyo, Japan.; Unidad de Biología Molecular y Medicina Genómica, Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán, Mexico City, Mexico.; Herbold Computational Biology Program, Public Health Sciences Division, Fred Hutchinson Cancer Center, Seattle, WA, USA.; Helix, San Mateo, CA, USA.; Università degli Studi di Milano, Milan, Italy.; Instituto de Investigación Interdisciplinaria y Facultad de Medicina, Universidad de Talca, Talca, Chile.; Department of Pathophysiology and Transplantation, Università degli Studi di Milano, Milan, Italy.; VA Portland Health Care System, Portland, Portland, OR, USA.; Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán, Mexico City, Mexico.; Department of Medical Biotechnology and Translational Medicine (BioMeTra), Università degli Studi di Milano, Milan, Italy.",N/A
40399553,Heart failure with preserved ejection fraction therapeutics: in search of the pillars.,2025,"Abdelghani El Rafei, Josephine A Harrington, Andrew P Ambrosy, Marc P Bonaca, Mario Enrico Canonico","Department of Cardiology, Kaiser Permanente San Francisco Medical Center, San Francisco, CA, USA.; Division of Research, Kaiser Permanente Northern California, Pleasanton, CA, USA.; Colorado Prevention Center, Aurora, CO, USA.; Colorado Prevention Center, Aurora, CO, USA. abdelghani.elrafei@cuanschutz.edu.",abdelghani.elrafei@cuanschutz.edu
40398558,Prediction Pathway for Severe Asthma Exacerbations: A Bayesian Network Analysis.,2025,"Carlos A Torres-Duque, Saraid Cerda","CINEUMO, Respiratory Research Center, Fundación Neumológica Colombiana, Bogotá, Colombia.; Medical Specialties Unit, Secretary of National Defense, Mexico City, Mexico.",N/A
40393983,PKMYT1 kinase ameliorates cisplatin sensitivity in osteosarcoma.,2025,Zheng Fu,"Xinyi Biotech Co., Ltd, Lingang, Shanghai, 201306, PR China.",N/A
40389374,Rationale and feasibility of a rapid integral biomarker program that informs immune-oncology clinical trials: the ADVISE trial.,2025,"Jason J Luke, Katherine Bever, Janis Taube, Ashish Massey, David Yao, Jaclyn Neely, Rachel Tam, George Lee, Akshita Gupta, Santanu Dutta, Peter Szabo, Riyue Bao, Tim Reilly","UPMC, Pittsburgh, Pennsylvania, USA.; UPMC, Pittsburgh, Pennsylvania, USA lukejj@upmc.edu.; Bristol Myers Squibb, Princeton, New Jersey, USA.; Johns Hopkins, Baltimore, Maryland, USA.",lukejj@upmc.edu
40382524,The DNA-PK inhibitor AZD7648 alone or combined with pegylated liposomal doxorubicin in patients with advanced cancer: results of a first-in-human Phase I/IIa study.,2025,"Amanda G Paulovich, Stephen McMorn, Lenka Oplustil O'Connor, Benedetta Lombardi, Paola Marco-Casanova, Eric T Gangl, Bharat Patel, Mark J O'Connor, Emma Dean, Roman Zviezdin","Oncology R&D, AstraZeneca, Cambridge, UK.; Clinical Pharmacology and Safety Sciences, Biopharmaceuticals R&D, AstraZeneca, Waltham, MA, USA.; Fred Hutchinson Cancer Center, Seattle, WA, USA.",N/A
40376501,China's Malaria R&D Innovations: A Scoping Review from 2013-2023.,2025,"Wei Ding, Sandra Perez, Roger Frutos, Chunsheng Ye, Danna Wu, Xiaoxiao Jiang Kwete, Yuan Sui","Hangzhou Biotest Biotech Co., Ltd., Hangzhou City, Zhejiang Province, China.; Faculty of Vocational Studies, Universitas Airlangga, Surabaya, Indonesia.; Université Côte d'Azur, ESPACE UMR 7300, Nice, France.; Global Health Research and Consulting, Yangzhou City, Jiangsu Province, China.; Intertryp, UMR 17, CIRAD, Montpellier, France.; Statistical Center for HIV/AIDS Research and Prevention (SCHARP), Fred Hutchinson Cancer Center, Seattle, WA, USA.",N/A
40375301,Perioperative nivolumab and chemotherapy in locally advanced squamous cell carcinoma of the oesophagus: a randomized multicentre phase 2 study with circulating tumor DNA dynamics monitoring.,2025,"Peng Cui, Jingshu Wang, Xuning Fan, Fujun Qiu, Chengcheng Li, Guoqiang Wang, Zhihong Zhang, Shangli Cai","Burning Rock Biotech, Guangdong, China.",N/A
40373109,A combined risk model shows viability for personalized breast cancer risk assessment in the Indonesian population: A case/control study.,2025,"Bijak Rabbani, Sabrina Gabriel Tanu, Kevin Nathanael Ramanto, Jessica Audrienna, Eric Aria Fernandez, Fatma Aldila, Mar Gonzalez-Porta, Margareta Deidre Valeska, Jessline Haruman, Lorina Handayani Ulag, Yusuf Maulana, Kathleen Irena Junusmin, Margareta Amelia, Gabriella Gabriella, Feilicia Soetyono, Aulian Fajarrahman, Salma Syahfani Maudina Hasan, Levana Sani, Astrid Irwanto","PT Nalagenetik Riset Indonesia, Jakarta, Indonesia.; Nalagenetics Pte Ltd, Lower Delta Road, #04-05/06/07/08, Singapore.",N/A
40367191,MEK1/2 inhibitors suppress pathological α-synuclein and neurotoxicity in cell models and a humanized mouse model of Parkinson's disease.,2025,Yongfeng Chen,"Hangzhou Attec Biotech Co. Ltd., Room 406-409, Building 2, 1299 Zhangheng Road, Shanghai, China.",N/A
40364850,Summarizing clinical evidence utilizing large language models for cancer treatments: a blinded comparative analysis.,2025,"Rahul Banerjee, Will Ma, Mary Kwok, Andrew J Cowan","Clinical Research Division, Fred Hutch Cancer Center, Seattle, WA, United States.; Hope AI, Inc, Princeton, NJ, United States.",N/A
40360636,An epimer of threose nucleic acid enhances oligonucleotide exonuclease resistance through end capping.,2025,Chunlei Zhang,"Gingko Biotech Limited, Hong Kong SAR, 000000, China.",N/A
40360497,Clinical response to azacitidine in MDS is associated with distinct DNA methylation changes in HSPCs.,2025,"Chun Y Fong, Kevin J Spring, Dirk Hoenemann","South-West Sydney Clinical Campuses, UNSW Medicine & Health, Sydney, NSW, Australia.; Department of Haematology, Austin Health, Melbourne, VIC, Australia.; Otway Pharmaceutical Development and Consulting Pty Ltd, Forrest, VIC, Australia.",N/A
40346041,"Ligand-activated EGFR/MAPK signaling but not PI3K, are key resistance mechanisms to EGFR-therapy in colorectal cancer.",2025,"Xueping Qu, Habib Hamidi, Radia M Johnson, Ethan S Sokol, Eva Lin, Cathy Eng, Smruthy Sivakumar, Benjamin Kaplan, Felipe de Sousa E Melo, Andrew Mancini, Matthew Wongchenko, Yi Shi, David Shames, Yibing Yan, Fortunato Ciardiello, Carlos Bais","Foundation Medicine, Inc, Boston, MA, USA.; Università degli Studi della Campania Luigi Vanvitelli, Naples, Italy.; Genentech, Inc, South San Francisco, CA, USA. baiscarlos@gmail.com.; Genentech, Inc, South San Francisco, CA, USA.; MD Anderson Cancer Center, Houston, TX, USA.",baiscarlos@gmail.com
40340441,Overall survival in patients with metastatic castration-sensitive prostate cancer treated with apalutamide versus abiraterone acetate: a head-to-head analysis of real-world patients in the USA.,2025,"Benjamin Lowentritt, Ibrahim Khilfeh, Carmine Rossi, Shawn Du, Frederic Kinkead, Lilian Diaz, Dominic Pilon, Lorie Ellis, Neal D Shore","Johnson & Johnson, Horsham, PA 19044, USA.; Analysis Group, Inc., Montréal, QC H3B 0G7, Canada.; Carolina Urologic Research Center, Myrtle Beach, SC 29572, USA.; Chesapeake Urology, Towson, MD 21204, USA.",N/A
40338593,Detection and Characterization of RB1 Mosaicism in Patients With Retinoblastoma Receiving cfDNA Test.,2025,"Melissa Robbins, Danielle N Friedman, Jennifer Kennedy, Elise Fiala, Ira J Dunkel, Jasmine H Francis, Jorge S Reis-Filho, David H Abramson","Cancer Biomarker Development, Oncology Research and Development, AstraZeneca, Gaithersburg, Maryland.; Department of Pediatrics, Memorial Sloan Kettering Cancer Center, New York, New York.; Department of Surgery, Memorial Sloan Kettering Cancer Center, New York, New York.; Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, New York.; Department of Ophthalmology, Weill Cornell Medical Center, New York, New York.",N/A
